crop,category,n_requirement,p_requirement,k_requirement,nutrient_notes
Alugbati (Malabar spinach),Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High requirement for rapid leaf growth and foliage development.', 'phosphorus': 'Medium - supports root establishment and nutrient uptake.', 'potassium': 'Medium - improves leaf quality and disease resistance.'}"
Ampalaya (Bitter gourd),Vegetable - Cucurbit,medium,medium,high,"{'nitrogen': 'Medium - supports vine and leaf growth at early stage.', 'phosphorus': 'Medium - critical for root development and flowering.', 'potassium': 'High - essential for fruit formation, flavor, and storage quality.'}"
Atis (Sugar apple),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - supports foliage and young shoots.', 'phosphorus': 'High - critical for flowering and fruit set.', 'potassium': 'High - improves fruit quality, sweetness, and disease resistance.'}"
Avocado,Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - supports canopy development without excessive vegetative growth.', 'phosphorus': 'High - essential for root development, flowering, and fruit set.', 'potassium': 'High - critical for fruit quality, oil content, and tree health.'}"
Balimbing (Starfruit),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - supports tree growth and foliage maintenance.', 'phosphorus': 'High - promotes flowering and continuous fruit production.', 'potassium': 'High - essential for fruit quality, acidity balance, and pest resistance.'}"
Saging (Banana),Fruit - Commercial,high,medium,high,"{'nitrogen': 'High - heavy requirement for pseudostem growth and robust leaf canopy development.', 'phosphorus': 'Medium - needed for root development and early fruiting.', 'potassium': 'High - CRITICAL for fruit quality, ripening, disease resistance, and transportability.'}"
Basiliko (Basil),Herb & Spice,high,medium,medium,"{'nitrogen': 'High - promotes leafy biomass and aromatic compound production.', 'phosphorus': 'Medium - supports root system and overall plant vigor.', 'potassium': 'Medium - improves leaf quality and flavor intensity.'}"
Beets,Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - excessive N causes leafy growth over root development.', 'phosphorus': 'High - critical for root bulking and sugar formation.', 'potassium': 'High - improves root size, color intensity, and storage quality.'}"
Black beans,Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - legume fixes own nitrogen; excess N reduces nodulation.', 'phosphorus': 'Medium - essential for pod development and seed filling.', 'potassium': 'Medium - supports seed weight and disease resistance.'}"
Rimas (Breadfruit),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - supports tree growth and leaf development.', 'phosphorus': 'Medium - aids fruiting and reproductive success.', 'potassium': 'High - critical for fruit size, starch content, and disease resistance.'}"
Broccoli,Vegetable - Brassica,high,medium,medium,"{'nitrogen': 'High - essential for head formation and floret development.', 'phosphorus': 'Medium - supports root establishment and flower development.', 'potassium': 'Medium - improves head quality and firmness.'}"
Repolyo (Cabbage),Vegetable - Brassica,high,medium,high,"{'nitrogen': 'High - critical for head formation and size.', 'phosphorus': 'Medium - aids early establishment and root growth.', 'potassium': 'High - improves head density, storage quality, and disease resistance.'}"
Calamansi (Philippine lime),Fruit - Citrus,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor without promoting excessive foliage.', 'phosphorus': 'High - supports flowering and continuous fruit production.', 'potassium': 'High - essential for fruit quality, acidity, and disease tolerance.'}"
Camote (Sweet potato),Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - supports vine and leaf growth; excess N delays tuber formation.', 'phosphorus': 'High - critical for tuber initiation and enlargement.', 'potassium': 'High - essential for tuber bulking, starch formation, and pest resistance.'}"
Camote tops (Sweet potato tops),Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High - promotes rapid leaf and tender shoot production.', 'phosphorus': 'Medium - supports nutrient uptake and plant vigor.', 'potassium': 'Medium - improves foliage quality and texture.'}"
Carrot,Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - supports foliage; excess N promotes leafy growth over roots.', 'phosphorus': 'High - critical for root development and sugar formation.', 'potassium': 'High - improves root color, sweetness, and storage quality.'}"
Kasoy (Cashew),Nut,medium,medium,high,"{'nitrogen': 'Medium - supports tree canopy development.', 'phosphorus': 'Medium - aids flowering and nut set.', 'potassium': 'High - improves nut quality, kernel development, and tree health.'}"
Balanghoy (Cassava),Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - supports stem and leaf growth.', 'phosphorus': 'High - essential for root tuber formation and development.', 'potassium': 'High - critical for tuber yield, starch content, and drought tolerance.'}"
Cauliflower,Vegetable - Brassica,high,medium,medium,"{'nitrogen': 'High - essential for curd formation and size.', 'phosphorus': 'Medium - supports root establishment and development.', 'potassium': 'Medium - improves curd quality and whiteness.'}"
Seleri (Celery),Vegetable - Leafy,high,medium,high,"{'nitrogen': 'High - promotes petiole and stalk growth.', 'phosphorus': 'Medium - supports root development and nutrient absorption.', 'potassium': 'High - improves stalk quality, crispness, and flavor.'}"
Chayote (Mirliton),Vegetable - Cucurbit,medium,medium,high,"{'nitrogen': 'Medium - supports vine growth and foliage.', 'phosphorus': 'Medium - aids flowering and fruit set.', 'potassium': 'High - essential for fruit formation, quality, and disease resistance.'}"
Chico (Sapodilla),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'Medium - supports flowering and fruit production.', 'potassium': 'High - critical for fruit quality, sweetness, and tree longevity.'}"
Siling (Pepper),Vegetable - Solanaceae,medium,high,high,"{'nitrogen': 'Medium - supports plant growth without promoting excessive vegetative growth.', 'phosphorus': 'High - critical for flowering and fruit set.', 'potassium': 'High - improves fruit quality, color, pungency, and disease resistance.'}"
Pechay (Chinese cabbage),Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High - maximizes leaf size, tenderness, and yield.', 'phosphorus': 'Medium - aids root development especially in seedling stage.', 'potassium': 'Medium - improves leaf texture and pest resistance.'}"
Chives,Herb & Spice,high,medium,medium,"{'nitrogen': 'High - promotes leaf and shoot production.', 'phosphorus': 'Medium - supports root development and vigor.', 'potassium': 'Medium - improves foliage quality and flavor.'}"
Cilantro (Coriander),Herb & Spice,medium,medium,medium,"{'nitrogen': 'Medium - supports leafy growth for fresh herb harvest.', 'phosphorus': 'Medium - aids root development and nutrient uptake.', 'potassium': 'Medium - enhances leaf flavor and quality.'}"
Sitaw (Cowpea),Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen through rhizobia symbiosis.', 'phosphorus': 'Medium - important for pod set and seed filling.', 'potassium': 'Medium - supports seed weight and pest/drought resistance.'}"
Pipino (Cucumber),Vegetable - Cucurbit,medium,medium,high,"{'nitrogen': 'Medium - supports vine and fruit growth.', 'phosphorus': 'Medium - aids flowering and fruit development.', 'potassium': 'High - critical for fruit size, quality, and disease resistance.'}"
Mais (Corn),Cereal,high,medium,medium,"{'nitrogen': 'High - essential for rapid early growth and maximum grain fill.', 'phosphorus': 'Medium - needed for strong root establishment and reproductive success.', 'potassium': 'Medium - supports stalk strength, grain fill, and drought tolerance.'}"
Dragon fruit,Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains plant vigor without excessive vegetative growth.', 'phosphorus': 'High - critical for flowering and continuous fruit production.', 'potassium': 'High - improves fruit quality, size, and disease tolerance.'}"
Durian (King of fruits),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains canopy without promoting excessive growth.', 'phosphorus': 'High - supports flowering and consistent fruit production.', 'potassium': 'High - essential for fruit quality and tree vigor.'}"
Talong (Eggplant),Vegetable - Solanaceae,medium,high,high,"{'nitrogen': 'Medium - supports plant growth and fruiting.', 'phosphorus': 'High - critical for flowering and fruit set.', 'potassium': 'High - improves fruit quality, size, and disease resistance.'}"
Gabi (Taro),Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - supports leaf growth and plant establishment.', 'phosphorus': 'High - critical for corm/tuber development and enlargement.', 'potassium': 'High - essential for tuber yield, starch content, and pest resistance.'}"
Garbanso (Chickpea),Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen via rhizobia.', 'phosphorus': 'Medium - supports pod development and seed filling.', 'potassium': 'Medium - improves seed weight and disease resistance.'}"
Bawang (Garlic),Vegetable - Bulb,medium,high,high,"{'nitrogen': 'Medium - supports foliage growth; timing critical to avoid splitting bulbs.', 'phosphorus': 'High - essential for bulb formation and clove development.', 'potassium': 'High - improves bulb size, storage quality, and disease resistance.'}"
Lada (Ginger),Herb & Spice,medium,high,high,"{'nitrogen': 'Medium - supports leaf growth without promoting excess vegetative growth.', 'phosphorus': 'High - critical for rhizome initiation and development.', 'potassium': 'High - improves rhizome quality, pungency, and disease tolerance.'}"
Gisantes (Garden pea),Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen; excess reduces nodulation.', 'phosphorus': 'Medium - essential for pod and seed development.', 'potassium': 'Medium - supports seed quality and plant vigor.'}"
Gotocola (Peppermint plant),Herb & Spice,medium,medium,medium,"{'nitrogen': 'Medium - promotes leaf and shoot growth for harvesting.', 'phosphorus': 'Medium - supports root establishment and plant vigor.', 'potassium': 'Medium - enhances leaf quality and aromatic compound production.'}"
Uvas (Grapes),Fruit - Commercial,medium,medium,high,"{'nitrogen': 'Medium - supports canopy growth; timing critical to avoid excessive vegetative growth during fruiting.', 'phosphorus': 'Medium - aids flowering and berry development.', 'potassium': 'High - CRITICAL for fruit quality, sugar content, and disease resistance.'}"
Bayabas (Guava),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'Medium - supports flowering and fruit production.', 'potassium': 'High - essential for fruit quality, flavor, and disease resistance.'}"
Guyabano (Soursop),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - supports tree growth and foliage maintenance.', 'phosphorus': 'Medium - aids flowering and fruiting.', 'potassium': 'High - improves fruit size, quality, and disease tolerance.'}"
Habitchuelas (Snap beans),Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen; avoid excess for optimal pod development.', 'phosphorus': 'Medium - supports flowering and pod set.', 'potassium': 'Medium - improves pod quality and harvest yield.'}"
Langka (Jackfruit),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'High - supports flowering and consistent fruit production.', 'potassium': 'High - critical for fruit quality and tree longevity.'}"
Kamansi (Breadnut),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - supports canopy development.', 'phosphorus': 'Medium - aids flowering and seed production.', 'potassium': 'High - improves fruit quality and tree health.'}"
Kamias (Tamarind fruit),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - maintains tree vigor.', 'phosphorus': 'Medium - supports flowering and pod development.', 'potassium': 'High - improves fruit quality and yield.'}"
Kangkong (Swamp cabbage),Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High - maximizes leaf and tender shoot production.', 'phosphorus': 'Medium - supports nutrient uptake and plant vigor.', 'potassium': 'Medium - improves foliage quality and disease tolerance.'}"
Kentucky beans,Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - essential for pod and seed development.', 'potassium': 'Medium - supports seed weight and crop vigor.'}"
Kidney beans,Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - critical for seed filling and development.', 'potassium': 'Medium - improves seed quality and disease resistance.'}"
Kulitis (Amaranth leaves),Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High - promotes rapid leaf growth and biomass.', 'phosphorus': 'Medium - supports nutrient uptake and plant vigor.', 'potassium': 'Medium - improves leaf quality and color.'}"
Lanzones (Longan),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains tree growth without promoting excessive vegetative growth.', 'phosphorus': 'High - supports flowering and consistent fruiting.', 'potassium': 'High - improves fruit quality and tree longevity.'}"
Letsugas (Lettuce),Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High - maximizes leaf size, tenderness, and yield.', 'phosphorus': 'Medium - supports root development and nutrient absorption.', 'potassium': 'Medium - improves leaf texture and quality.'}"
Upo (Bottle gourd),Vegetable - Cucurbit,medium,medium,high,"{'nitrogen': 'Medium - supports vine and fruit growth.', 'phosphorus': 'Medium - aids flowering and fruit development.', 'potassium': 'High - critical for fruit size, quality, and disease resistance.'}"
Luyang dilaw (Turmeric),Herb & Spice,medium,high,high,"{'nitrogen': 'Medium - supports leaf growth and plant vigor.', 'phosphorus': 'High - critical for rhizome initiation and development.', 'potassium': 'High - improves rhizome quality, pungency, and pest resistance.'}"
Makopa (Water apple),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'Medium - supports flowering and fruit production.', 'potassium': 'High - improves fruit quality and disease tolerance.'}"
Mandarin,Fruit - Citrus,medium,high,high,"{'nitrogen': 'Medium - maintains canopy vigor without excessive vegetative growth.', 'phosphorus': 'High - supports flowering and consistent fruit production.', 'potassium': 'High - essential for fruit quality and disease resistance.'}"
Mango,Fruit - Commercial,high,high,high,"{'nitrogen': 'High - supports canopy growth and flowering.', 'phosphorus': 'High - CRITICAL for flowering and consistent fruiting.', 'potassium': 'High - improves fruit quality, flavor, and disease resistance.'}"
Mangosteen,Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor.', 'phosphorus': 'High - essential for flowering and fruit development.', 'potassium': 'High - improves fruit quality and tree longevity.'}"
Marang (Breadfruit species),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - supports tree growth and foliage.', 'phosphorus': 'Medium - aids flowering and fruit production.', 'potassium': 'High - critical for fruit quality and disease resistance.'}"
Melon,Fruit - Cucurbit,medium,medium,high,"{'nitrogen': 'Medium - supports vine growth; avoid excess for optimal fruit sugar accumulation.', 'phosphorus': 'Medium - aids flowering and fruit set.', 'potassium': 'High - CRITICAL for fruit sweetness, size, and quality.'}"
Pinya (Pineapple),Fruit - Commercial,high,high,high,"{'nitrogen': 'High - essential for robust plant growth and canopy development.', 'phosphorus': 'High - CRITICAL for flowering and consistent fruit production.', 'potassium': 'High - improves fruit quality, sugar content, and disease resistance.'}"
Mint,Herb & Spice,high,medium,medium,"{'nitrogen': 'High - promotes leaf and shoot production for continuous harvesting.', 'phosphorus': 'Medium - supports root development and vigor.', 'potassium': 'Medium - enhances foliage quality and aromatic compound production.'}"
Miracle fruit,Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor.', 'phosphorus': 'High - supports flowering and fruit development.', 'potassium': 'High - improves fruit quality and tree health.'}"
Mongo (Mungbean),Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen; moderate N boost good for seedling.', 'phosphorus': 'Medium - supports root and pod development.', 'potassium': 'Medium - improves seed weight and disease resistance.'}"
Mulberry,Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'Medium - supports flowering and berry production.', 'potassium': 'High - improves berry quality and disease tolerance.'}"
Mustard,Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High - maximizes leaf size and rapid growth.', 'phosphorus': 'Medium - supports nutrient uptake and plant vigor.', 'potassium': 'Medium - improves leaf quality and pungency.'}"
Okra (Lady's finger),Vegetable - Solanaceae,medium,medium,high,"{'nitrogen': 'Medium - supports plant growth and pod production.', 'phosphorus': 'Medium - aids flowering and pod development.', 'potassium': 'High - improves pod quality, tenderness, and disease resistance.'}"
Sibuyas (Onion),Vegetable - Bulb,medium,high,high,"{'nitrogen': 'Medium - supports foliage growth; timing critical to avoid splitting bulbs.', 'phosphorus': 'High - essential for bulb formation and development.', 'potassium': 'High - improves bulb size, storage quality, and disease resistance.'}"
Orange,Fruit - Citrus,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor without excessive vegetative growth.', 'phosphorus': 'High - supports flowering and consistent fruit production.', 'potassium': 'High - essential for fruit quality and disease tolerance.'}"
Oregano,Herb & Spice,medium,medium,medium,"{'nitrogen': 'Medium - supports leaf and shoot growth for harvesting.', 'phosphorus': 'Medium - aids root development and plant vigor.', 'potassium': 'Medium - enhances leaf quality and aromatic compound production.'}"
Paminta (Black pepper),Herb & Spice,medium,high,high,"{'nitrogen': 'Medium - supports vine growth and foliage.', 'phosphorus': 'High - critical for flowering and berry development.', 'potassium': 'High - improves berry quality and disease resistance.'}"
Papaya,Fruit - Commercial,medium,high,high,"{'nitrogen': 'Medium - supports trunk growth and foliage.', 'phosphorus': 'High - supports flowering and fruit development.', 'potassium': 'High - improves fruit quality, flavor, and disease resistance.'}"
Parsley,Herb & Spice,high,medium,medium,"{'nitrogen': 'High - promotes leaf and tender growth for harvesting.', 'phosphorus': 'Medium - supports root development.', 'potassium': 'Medium - improves foliage quality.'}"
Passion fruit,Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains vine vigor and foliage.', 'phosphorus': 'High - supports flowering and continuous fruit production.', 'potassium': 'High - improves fruit quality and disease tolerance.'}"
Patani (Lima beans),Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - essential for pod and seed development.', 'potassium': 'Medium - supports seed weight and crop vigor.'}"
Patola (Bottle gourd/Ridge gourd),Vegetable - Cucurbit,medium,medium,high,"{'nitrogen': 'Medium - supports vine and fruit growth.', 'phosphorus': 'Medium - aids flowering and fruit set.', 'potassium': 'High - critical for fruit formation and quality.'}"
Mani (Peanut),Vegetable - Legume,low,medium,high,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - critical for pod and kernel development.', 'potassium': 'High - improves kernel weight, quality, and disease resistance.'}"
Peras (Pears),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'High - supports flowering and fruit development.', 'potassium': 'High - improves fruit quality and tree health.'}"
Persimmon,Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - maintains tree vigor.', 'phosphorus': 'Medium - aids flowering and fruiting.', 'potassium': 'High - improves fruit quality and tree longevity.'}"
Pili (Pili nut),Nut,medium,high,high,"{'nitrogen': 'Medium - supports tree growth and foliage.', 'phosphorus': 'High - critical for flowering and nut development.', 'potassium': 'High - improves nut quality and yield.'}"
Pineapple fiber,Industrial,high,high,high,"{'nitrogen': 'High - supports robust plant growth and biomass for fiber.', 'phosphorus': 'High - critical for canopy development.', 'potassium': 'High - essential for overall plant vigor and productivity.'}"
Patatas (Potato),Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - vital for early leaf and tuber growth.', 'phosphorus': 'High - essential for tuber formation and bulking.', 'potassium': 'High - improves yield, quality, disease resistance, and sugar/starch synthesis.'}"
Radish,Vegetable - Root/Tuber,medium,medium,high,"{'nitrogen': 'Medium - supports foliage; avoid excess for optimal root development.', 'phosphorus': 'Medium - aids root development and sweetness.', 'potassium': 'High - improves root quality, crispness, and storage.'}"
Rambutan (Hairy fruit),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'High - supports flowering and continuous fruiting.', 'potassium': 'High - improves fruit quality and disease tolerance.'}"
Red beans,Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - critical for pod and seed development.', 'potassium': 'Medium - supports seed quality and vigor.'}"
Saluyot (Egyptian spinach),Vegetable - Leafy,high,medium,medium,"{'nitrogen': 'High - promotes rapid leaf growth and biomass.', 'phosphorus': 'Medium - supports nutrient uptake and plant vigor.', 'potassium': 'Medium - improves leaf quality and disease tolerance.'}"
Santol (Wild mangosteen),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'Medium - supports flowering and fruit production.', 'potassium': 'High - improves fruit quality and disease resistance.'}"
Sineguelas (June plum),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - maintains tree vigor.', 'phosphorus': 'Medium - aids flowering and fruiting.', 'potassium': 'High - improves fruit quality and disease tolerance.'}"
Singkamas (Turnip),Vegetable - Root/Tuber,medium,high,high,"{'nitrogen': 'Medium - supports foliage; avoid excess for optimal tuber development.', 'phosphorus': 'High - critical for tuber formation and development.', 'potassium': 'High - improves tuber quality, sweetness, and storage.'}"
Sitao (Stringbeans),Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - essential for pod development and seed filling.', 'potassium': 'Medium - supports pod quality and disease resistance.'}"
Sorghum,Cereal,high,medium,high,"{'nitrogen': 'High - essential for rapid growth and grain production.', 'phosphorus': 'Medium - supports root development.', 'potassium': 'High - improves stalk strength, grain weight, and drought tolerance.'}"
Soybeans,Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - critical for pod development and seed filling.', 'potassium': 'Medium - improves seed quality and disease resistance.'}"
Spinach,Vegetable - Leafy,high,medium,high,"{'nitrogen': 'High - maximizes leaf size and rapid growth.', 'phosphorus': 'Medium - supports root development.', 'potassium': 'High - improves leaf texture, quality, and disease resistance.'}"
Spring onion,Vegetable - Bulb,medium,medium,high,"{'nitrogen': 'Medium - supports green top and bulb growth.', 'phosphorus': 'Medium - aids bulb formation.', 'potassium': 'High - improves bulb quality and disease tolerance.'}"
Starapple (Calamansi apple),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'High - supports flowering and fruit production.', 'potassium': 'High - improves fruit quality and disease tolerance.'}"
Tubo (Sugarcane),Industrial,high,high,high,"{'nitrogen': 'High - essential for stalk growth and biomass.', 'phosphorus': 'High - CRITICAL for early growth and tillering.', 'potassium': 'High - vital for sugar synthesis, stalk strength, and disease resistance.'}"
Sweet peas,Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - supports pod and seed development.', 'potassium': 'Medium - improves seed quality and vigor.'}"
Tambis (Lansat fruit),Fruit - Tropical,medium,medium,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'Medium - supports flowering and fruit production.', 'potassium': 'High - improves fruit quality and disease tolerance.'}"
Tanglad (Lemongrass),Herb & Spice,medium,medium,medium,"{'nitrogen': 'Medium - supports foliage growth for harvesting.', 'phosphorus': 'Medium - aids root development and vigor.', 'potassium': 'Medium - enhances leaf quality and aromatic compound production.'}"
Kamatis (Tomato),Vegetable - Solanaceae,medium,high,high,"{'nitrogen': 'Medium - supports early vegetative growth; avoid excess during fruiting.', 'phosphorus': 'High - CRITICAL for root formation, flowering, and fruit set.', 'potassium': 'High - improves fruit quality, color, flavor, and disease resistance.'}"
Pakwan (Watermelon),Fruit - Cucurbit,medium,medium,high,"{'nitrogen': 'Medium - supports vine growth; excess delays fruit sugar accumulation.', 'phosphorus': 'Medium - aids flowering and fruit development.', 'potassium': 'High - CRITICAL for fruit size, sweetness, flavor, and disease resistance.'}"
Wonder beans,Vegetable - Legume,low,medium,medium,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - supports pod and seed development.', 'potassium': 'Medium - improves seed quality and vigor.'}"
Yam beans,Vegetable - Legume,low,medium,high,"{'nitrogen': 'Low - fixes own nitrogen.', 'phosphorus': 'Medium - supports tuber development.', 'potassium': 'High - critical for tuber bulking and quality.'}"
Zapote (Sapota fruit),Fruit - Tropical,medium,high,high,"{'nitrogen': 'Medium - maintains tree vigor and foliage.', 'phosphorus': 'High - supports flowering and fruit production.', 'potassium': 'High - improves fruit quality and tree longevity.'}"
Zucchini,Vegetable - Cucurbit,medium,medium,high,"{'nitrogen': 'Medium - supports vine and fruit growth.', 'phosphorus': 'Medium - aids flowering and fruit development.', 'potassium': 'High - critical for fruit formation and quality.'}"
